"Datum";"Burgenland"
"2021-06-05";"1.10513432604495"
"2021-06-04";"1.1017650140753008"
"2021-06-03";"1.1017650140753008"
"2021-06-02";"1.1017650140753008"
"2021-06-01";"1.1017650140753008"
"2021-05-31";"1.1017650140753008"
"2021-05-30";"1.1017650140753008"
"2021-05-29";"1.1017650140753008"
"2021-05-28";"1.1017650140753008"
"2021-05-27";"1.0983957021056514"
"2021-05-26";"1.0950263901360022"
"2021-05-25";"1.0950263901360022"
"2021-05-24";"1.0950263901360022"
"2021-05-23";"1.0950263901360022"
"2021-05-22";"1.091657078166353"
"2021-05-21";"1.091657078166353"
"2021-05-20";"1.091657078166353"
"2021-05-19";"1.091657078166353"
"2021-05-18";"1.0882877661967039"
"2021-05-17";"1.0849184542270547"
"2021-05-17";"1.0849184542270547"
"2021-05-16";"1.0849184542270547"
"2021-05-15";"1.078179830287756"
"2021-05-14";"1.078179830287756"
"2021-05-13";"1.0748105183181067"
"2021-05-12";"1.0748105183181067"
"2021-05-11";"1.0714412063484577"
"2021-05-10";"1.0714412063484577"
"2021-05-09";"1.0647025824091592"
"2021-05-08";"1.0647025824091592"
"2021-05-07";"1.0647025824091592"
"2021-05-06";"1.0647025824091592"
"2021-05-05";"1.0647025824091592"
"2021-05-04";"1.0647025824091592"
"2021-05-03";"1.0579639584698606"
"2021-05-02";"1.0579639584698606"
"2021-05-01";"1.0545946465002114"
"2021-04-30";"1.0545946465002114"
"2021-04-29";"1.0545946465002114"
"2021-04-28";"1.047856022560913"
"2021-04-27";"1.047856022560913"
"2021-04-26";"1.0444867105912636"
"2021-04-25";"1.0444867105912636"
"2021-04-24";"1.0444867105912636"
"2021-04-23";"1.0411173986216145"
"2021-04-22";"1.037748086651965"
"2021-04-21";"1.0276401507430175"
"2021-04-20";"1.0276401507430175"
"2021-04-19";"1.0242708387733683"
"2021-04-18";"1.0175322148340697"
"2021-04-17";"1.0040549669554728"
"2021-04-16";"1.0040549669554728"
"2021-04-15";"1.0006856549858236"
"2021-04-14";"1.0006856549858236"
"2021-04-13";"0.977100471198279"
"2021-04-12";"0.9737311592286297"
"2021-04-11";"0.9737311592286297"
"2021-04-10";"0.9669925352893313"
"2021-04-09";"0.9669925352893313"
"2021-04-08";"0.963623223319682"
"2021-04-07";"0.9535152874107342"
"2021-04-06";"0.950145975441085"
"2021-04-05";"0.9299301036231896"
"2021-04-03";"0.9265607916535403"
"2021-04-02";"0.9265607916535403"
"2021-04-01";"0.919822167714242"
"2021-03-31";"0.9063449198356449"
"2021-03-30";"0.9029756078659957"
"2021-03-29";"0.8962369839266973"
"2021-03-28";"0.8861290480177495"
"2021-03-27";"0.8760211121088017"
"2021-03-26";"0.8760211121088017"
"2021-03-25";"0.8726518001391527"
"2021-03-24";"0.8692824881695034"
"2021-03-23";"0.8692824881695034"
"2021-03-22";"0.8524359283212571"
"2021-03-21";"0.8423279924123095"
"2021-03-20";"0.835589368473011"
"2021-03-19";"0.835589368473011"
"2021-03-18";"0.8288507445337124"
"2021-03-17";"0.8254814325640633"
"2021-03-16";"0.8221121205944141"
"2021-03-15";"0.808634872715817"
"2021-03-14";"0.8052655607461678"
"2021-03-13";"0.8018962487765185"
"2021-03-12";"0.8018962487765185"
"2021-03-11";"0.7985269368068693"
"2021-03-10";"0.7985269368068693"
"2021-03-09";"0.7985269368068693"
"2021-03-08";"0.7951576248372202"
"2021-03-07";"0.7850496889282724"
"2021-03-06";"0.7749417530193247"
"2021-03-05";"0.7749417530193247"
"2021-03-04";"0.7749417530193247"
"2021-03-03";"0.7715724410496754"
"2021-03-02";"0.7682031290800263"
"2021-03-01";"0.7682031290800263"
"2021-02-28";"0.7682031290800263"
"2021-02-27";"0.764833817110377"
"2021-02-26";"0.764833817110377"
"2021-02-25";"0.764833817110377"
"2021-02-24";"0.764833817110377"
"2021-02-23";"0.764833817110377"
"2021-02-22";"0.764833817110377"
"2021-02-21";"0.7614645051407277"
"2021-02-20";"0.75135656923178"
"2021-02-19";"0.75135656923178"
"2021-02-18";"0.7479872572621308"
"2021-02-17";"0.7412486333228323"
"2021-02-16";"0.7446179452924816"
"2021-02-15";"0.7446179452924816"
"2021-02-14";"0.7412486333228323"
"2021-02-13";"0.7378793213531831"
"2021-02-12";"0.7378793213531831"
"2021-02-11";"0.7378793213531831"
"2021-02-10";"0.7345100093835338"
"2021-02-09";"0.7345100093835338"
"2021-02-08";"0.7311406974138845"
"2021-02-07";"0.7244020734745861"
"2021-02-06";"0.7210327615049368"
"2021-02-05";"0.7210327615049368"
"2021-02-04";"0.7210327615049368"
"2021-02-03";"0.7176634495352877"
"2021-02-02";"0.7109248255959891"
"2021-02-01";"0.7109248255959891"
"2021-01-31";"0.7109248255959891"
"2021-01-30";"0.7008168896870415"
"2021-01-29";"0.6974475777173922"
"2021-01-28";"0.694078265747743"
"2021-01-27";"0.6873396418084445"
"2021-01-26";"0.6839703298387952"
"2021-01-25";"0.6772317058994968"
"2021-01-24";"0.6704930819601983"
"2021-01-23";"0.6637544580208998"
"2021-01-22";"0.6603851460512506"
"2021-01-21";"0.6536465221119521"
"2021-01-20";"0.6469078981726536"
"2021-01-19";"0.6469078981726536"
"2021-01-18";"0.6367999622637059"
"2021-01-17";"0.6165840904458105"
"2021-01-16";"0.6165840904458105"
"2021-01-15";"0.6165840904458105"
"2021-01-14";"0.6165840904458105"
"2021-01-13";"0.6165840904458105"
"2021-01-12";"0.6098454665065121"
"2021-01-11";"0.6098454665065121"
"2021-01-10";"0.6098454665065121"
"2021-01-09";"0.6064761545368628"
"2021-01-08";"0.6064761545368628"
"2021-01-07";"0.5997375305975643"
"2021-01-06";"0.5862602827189674"
"2021-01-05";"0.5828909707493182"
"2021-01-04";"0.5795216587796689"
"2021-01-03";"0.5795216587796689"
"2021-01-02";"0.5862602827189674"
"2021-01-01";"0.5727830348403704"
"2020-12-31";"0.5758358935448796"
"2020-12-30";"0.572448623582851"
"2020-12-29";"0.572448623582851"
"2020-12-28";"0.5656740836587935"
"2020-12-27";"0.5555122737727074"
"2020-12-26";"0.5555122737727074"
"2020-12-25";"0.5555122737727074"
"2020-12-24";"0.5521250038106787"
"2020-12-23";"0.5453504638866212"
"2020-12-22";"0.5385759239625639"
"2020-12-21";"0.5351886540005352"
"2020-12-20";"0.5250268441144491"
"2020-12-19";"0.5148650342283629"
"2020-12-18";"0.5080904943043056"
"2020-12-17";"0.49792868441821947"
"2020-12-16";"0.491154144494162"
"2020-12-15";"0.48776687453213335"
"2020-12-14";"0.48437960457010465"
"2020-12-13";"0.48437960457010465"
"2020-12-12";"0.47421779468401853"
"2020-12-11";"0.46405598479793236"
"2020-12-10";"0.4538941749118463"
"2020-12-09";"0.4505069049498176"
"2020-12-08";"0.4335705551396741"
"2020-12-07";"0.41324693536750184"
"2020-12-06";"0.4098596654054732"
"2020-12-05";"0.40647239544344443"
"2020-12-04";"0.40308512548141573"
"2020-12-03";"0.37598696578518614"
"2020-12-02";"0.36243788593707127"
"2020-12-01";"0.3455015361269278"
"2020-11-30";"0.33533972624084163"
"2020-11-29";"0.3251779163547555"
"2020-11-28";"0.31840337643069816"
"2020-11-27";"0.2675943270002676"
"2020-11-26";"0.25743251711418147"
"2020-11-25";"0.25065797719012406"
"2020-11-24";"0.24049616730403794"
"2020-11-23";"0.23372162737998056"
"2020-11-22";"0.22355981749389445"
"2020-11-21";"0.21678527756983704"
"2020-11-20";"0.20662346768375092"
"2020-11-19";"0.1998489277596935"
"2020-11-18";"0.1930743878356361"
"2020-11-17";"0.18629984791157872"
"2020-11-16";"0.1659762281394065"
"2020-11-15";"0.16258895817737776"
"2020-11-14";"0.15581441825332037"
"2020-11-13";"0.15581441825332037"
"2020-11-12";"0.14565260836723426"
"2020-11-11";"0.13887806844317685"
"2020-11-10";"0.13549079848114814"
"2020-11-09";"0.13549079848114814"
"2020-11-08";"0.13210352851911944"
"2020-11-07";"0.11516717870897593"
"2020-11-06";"0.10839263878491852"
"2020-11-05";"0.10500536882288981"
"2020-11-04";"0.10161809886086111"
"2020-11-03";"0.10161809886086111"
"2020-11-02";"0.10161809886086111"
"2020-11-01";"0.09145628897477501"
"2020-10-31";"0.0846817490507176"
"2020-10-30";"0.07451993916463148"
"2020-10-29";"0.07113266920260278"
"2020-10-28";"0.07113266920260278"
"2020-10-27";"0.06774539924057407"
"2020-10-26";"0.06097085931651667"
"2020-10-25";"0.06097085931651667"
"2020-10-24";"0.06097085931651667"
"2020-10-23";"0.05419631939245926"
"2020-10-22";"0.050809049430430554"
"2020-10-21";"0.050809049430430554"
"2020-10-20";"0.04742177946840185"
"2020-10-19";"0.044034509506373144"
"2020-10-18";"0.044034509506373144"
"2020-10-17";"0.044034509506373144"
"2020-10-16";"0.044034509506373144"
"2020-10-15";"0.044034509506373144"
"2020-10-14";"0.044034509506373144"
"2020-10-13";"0.03725996958231574"
"2020-10-12";"0.03725996958231574"
"2020-10-11";"0.03725996958231574"
"2020-10-10";"0.03725996958231574"
"2020-10-09";"0.03725996958231574"
"2020-10-08";"0.03725996958231574"
"2020-10-07";"0.03725996958231574"
"2020-10-06";"0.03725996958231574"
"2020-10-05";"0.03725996958231574"
"2020-10-04";"0.03725996958231574"
"2020-10-03";"0.03725996958231574"
"2020-10-02";"0.03725996958231574"
"2020-10-01";"0.03725996958231574"
"2020-09-30";"0.03725996958231574"
"2020-09-29";"0.03725996958231574"
"2020-09-28";"0.03725996958231574"
"2020-09-27";"0.03725996958231574"
"2020-09-26";"0.03725996958231574"
"2020-09-25";"0.03725996958231574"
"2020-09-24";"0.03725996958231574"
"2020-09-23";"0.03725996958231574"
"2020-09-22";"0.03725996958231574"
"2020-09-21";"0.03725996958231574"
"2020-09-20";"0.03725996958231574"
"2020-09-19";"0.03725996958231574"
"2020-09-18";"0.03725996958231574"
"2020-09-17";"0.03725996958231574"
"2020-09-16";"0.03725996958231574"
"2020-09-15";"0.03725996958231574"
"2020-09-14";"0.03725996958231574"
"2020-09-13";"0.03725996958231574"
"2020-09-12";"0.03725996958231574"
"2020-09-11";"0.03725996958231574"
"2020-09-10";"0.03725996958231574"
"2020-09-09";"0.03725996958231574"
"2020-09-08";"0.03725996958231574"
"2020-09-07";"0.03725996958231574"
"2020-09-06";"0.03725996958231574"
"2020-09-05";"0.03725996958231574"
"2020-09-04";"0.03725996958231574"
"2020-09-03";"0.03725996958231574"
"2020-09-02";"0.03725996958231574"
"2020-09-01";"0.03725996958231574"
"2020-08-31";"0.03725996958231574"
"2020-08-30";"0.03725996958231574"
"2020-08-29";"0.03725996958231574"
"2020-08-28";"0.03725996958231574"
"2020-08-27";"0.03725996958231574"
"2020-08-26";"0.03725996958231574"
"2020-08-25";"0.03725996958231574"
"2020-08-24";"0.03725996958231574"
"2020-08-23";"0.03725996958231574"
"2020-08-22";"0.03725996958231574"
"2020-08-21";"0.03725996958231574"
"2020-08-20";"0.03725996958231574"
"2020-08-19";"0.03725996958231574"
"2020-08-18";"0.03725996958231574"
"2020-08-17";"0.03725996958231574"
"2020-08-16";"0.03725996958231574"
"2020-08-15";"0.03725996958231574"
"2020-08-14";"0.03725996958231574"
"2020-08-13";"0.03725996958231574"
"2020-08-12";"0.03725996958231574"
"2020-08-11";"0.03725996958231574"
"2020-08-10";"0.03725996958231574"
"2020-08-09";"0.03725996958231574"
"2020-08-08";"0.03725996958231574"
"2020-08-07";"0.03725996958231574"
"2020-08-06";"0.03725996958231574"
"2020-08-05";"0.03725996958231574"
"2020-08-04";"0.03725996958231574"
"2020-08-03";"0.03725996958231574"
"2020-08-02";"0.03725996958231574"
"2020-08-01";"0.03725996958231574"
"2020-07-31";"0.03725996958231574"
"2020-07-30";"0.03725996958231574"
"2020-07-29";"0.03725996958231574"
"2020-07-28";"0.03725996958231574"
"2020-07-27";"0.03725996958231574"
"2020-07-26";"0.03725996958231574"
"2020-07-25";"0.03725996958231574"
"2020-07-24";"0.03725996958231574"
"2020-07-23";"0.03725996958231574"
"2020-07-22";"0.03725996958231574"
"2020-07-21";"0.03725996958231574"
"2020-07-20";"0.03725996958231574"
"2020-07-19";"0.03725996958231574"
"2020-07-18";"0.03725996958231574"
"2020-07-17";"0.03725996958231574"
"2020-07-16";"0.03725996958231574"
"2020-07-15";"0.03725996958231574"
"2020-07-14";"0.03725996958231574"
"2020-07-13";"0.03725996958231574"
"2020-07-12";"0.03725996958231574"
"2020-07-11";"0.03725996958231574"
"2020-07-10";"0.03725996958231574"
"2020-07-09";"0.03725996958231574"
"2020-07-08";"0.03725996958231574"
"2020-07-07";"0.03725996958231574"
"2020-07-06";"0.03725996958231574"
"2020-07-05";"0.03725996958231574"
"2020-07-04";"0.03725996958231574"
"2020-07-03";"0.03725996958231574"
"2020-07-02";"0.03725996958231574"
"2020-07-01";"0.03725996958231574"
"2020-06-30";"0.03725996958231574"
"2020-06-29";"0.03725996958231574"
"2020-06-28";"0.03725996958231574"
"2020-06-27";"0.03725996958231574"
"2020-06-26";"0.03725996958231574"
"2020-06-25";"0.03725996958231574"
"2020-06-24";"0.03725996958231574"
"2020-06-23";"0.03725996958231574"
"2020-06-22";"0.03725996958231574"
"2020-06-21";"0.03725996958231574"
"2020-06-20";"0.03725996958231574"
"2020-06-19";"0.03725996958231574"
"2020-06-18";"0.03725996958231574"
"2020-06-17";"0.03725996958231574"
"2020-06-16";"0.03725996958231574"
"2020-06-15";"0.03725996958231574"
"2020-06-14";"0.03725996958231574"
"2020-06-13";"0.03725996958231574"
"2020-06-12";"0.03725996958231574"
"2020-06-11";"0.03725996958231574"
"2020-06-10";"0.03725996958231574"
"2020-06-09";"0.03725996958231574"
"2020-06-08";"0.03725996958231574"
"2020-06-07";"0.03725996958231574"
"2020-06-06";"0.03725996958231574"
"2020-06-05";"0.03725996958231574"
"2020-06-04";"0.03725996958231574"
"2020-06-03";"0.03725996958231574"
"2020-06-02";"0.03725996958231574"
"2020-06-01";"0.03725996958231574"
"2020-05-31";"0.03725996958231574"
"2020-05-30";"0.03725996958231574"
"2020-05-29";"0.03725996958231574"
"2020-05-28";"0.03725996958231574"
"2020-05-27";"0.03725996958231574"
"2020-05-26";"0.03725996958231574"
"2020-05-25";"0.03725996958231574"
"2020-05-24";"0.03725996958231574"
"2020-05-23";"0.03725996958231574"
"2020-05-22";"0.03725996958231574"
"2020-05-21";"0.03725996958231574"
"2020-05-20";"0.03725996958231574"
"2020-05-19";"0.03725996958231574"
"2020-05-18";"0.03725996958231574"
"2020-05-17";"0.03725996958231574"
"2020-05-16";"0.03725996958231574"
"2020-05-15";"0.03725996958231574"
"2020-05-14";"0.03725996958231574"
"2020-05-13";"0.03725996958231574"
"2020-05-12";"0.03725996958231574"
"2020-05-11";"0.03725996958231574"
"2020-05-10";"0.03725996958231574"
"2020-05-09";"0.03725996958231574"
"2020-05-08";"0.03725996958231574"
"2020-05-07";"0.03725996958231574"
"2020-05-06";"0.03725996958231574"
"2020-05-05";"0.03725996958231574"
"2020-05-04";"0.03725996958231574"
"2020-05-03";"0.033872699620287036"
"2020-05-02";"0.033872699620287036"
"2020-05-01";"0.033872699620287036"
"2020-04-30";"0.033872699620287036"
"2020-04-29";"0.033872699620287036"
"2020-04-28";"0.033872699620287036"
"2020-04-27";"0.030485429658258335"
"2020-04-26";"0.030485429658258335"
"2020-04-25";"0.02709815969622963"
"2020-04-24";"0.02709815969622963"
"2020-04-23";"0.030485429658258335"
"2020-04-22";"0.030485429658258335"
"2020-04-21";"0.02709815969622963"
"2020-04-20";"0.02709815969622963"
"2020-04-19";"0.02709815969622963"
"2020-04-18";"0.023710889734200925"
"2020-04-17";"0.02032361977217222"
"2020-04-16";"0.02032361977217222"
"2020-04-15";"0.02032361977217222"
"2020-04-14";"0.02032361977217222"
"2020-04-13";"0.02032361977217222"
"2020-04-12";"0.016936349810143518"
"2020-04-11";"0.013549079848114815"
"2020-04-10";"0.01016180988608611"
"2020-04-09";"0.01016180988608611"
"2020-04-08";"0.01016180988608611"
"2020-04-07";"0.01016180988608611"
"2020-04-06";"0.01016180988608611"
"2020-04-05";"0.01016180988608611"
"2020-04-04";"0.01016180988608611"
"2020-04-03";"0.01016180988608611"
"2020-04-02";"0.01016180988608611"
"2020-04-01";"0.01016180988608611"
"2020-03-31";"0.01016180988608611"
"2020-03-30";"0.01016180988608611"
"2020-03-29";"0.01016180988608611"
"2020-03-28";"0.006774539924057407"
"2020-03-27";"0.006774539924057407"
"2020-03-26";"0.006774539924057407"
"2020-03-25";"0.006774539924057407"
"2020-03-24";"0.006774539924057407"
"2020-03-23";"0.0033872699620287037"
"2020-03-22";"0.0033872699620287037"
"2020-03-21";"0.0"
"2020-03-20";"0.0"
"2020-03-19";"0.0"
"2020-03-18";"0.0"
"2020-03-17";"0.0"
"2020-03-16";"0.0"
"2020-03-15";"0.0"
"2020-03-14";"0.0"
"2020-03-13";"0.0"
"2020-03-12";"0.0"
"2020-03-11";"0.0"
"2020-03-10";"0.0"
"2020-03-09";"0.0"
"2020-03-08";"0.0"
"2020-03-07";"0.0"
"2020-03-06";"0.0"
"2020-03-05";"0.0"
"2020-03-04";"0.0"
"2020-03-03";"0.0"
"2020-03-02";"0.0"
"2020-03-01";"0.0"
"2020-02-29";"0.0"
"2020-02-28";"0.0"
"2020-02-27";"0.0"
"2020-02-26";"0.0"
"2020-02-25";"0.0"
