"Bundesland";"01.01.2020";"01.01.2021";"01.01.2022";"01.01.2023";"01.01.2024";"01.04.2024"
"Österreich";"8901064";"8932664";"8978929";"9104772";"9158750";"9170647"
"Burgenland";"294436";"296010";"297583";"301250";"301951";"301563"
"Kärnten";"561293";"562089";"564513";"568984";"569744";"569721"
"Niederösterreich";"1684287";"1690879";"1698796";"1718373";"1723723";"1724414"
"Oberösterreich";"1490279";"1495608";"1505140";"1522825";"1530349";"1531772"
"Salzburg";"558410";"560710";"562606";"568346";"571479";"571891"
"Steiermark";"1246395";"1247077";"1252922";"1265198";"1269801";"1269804"
"Tirol";"757634";"760105";"764102";"771304";"775970";"776505"
"Vorarlberg";"397139";"399237";"401674";"406395";"409973";"410363"
"Wien";"1911191";"1920949";"1931593";"1982097";"2005760";"2014614"